name,link,salary,employer,address
Инженер-технолог,https://spb.hh.ru/vacancy/55377639,"{'min': 70000, 'max': None, 'cur': 'руб.'}",ООО Меринг,Санкт-Петербург
Инженер,https://spb.hh.ru/vacancy/55050998,"{'min': 95000, 'max': None, 'cur': 'руб.'}",ООО Реал Групп,Москва
Инженер сметно-договорного отдела (Инженер по продажам в малоэтажном строительстве),https://spb.hh.ru/vacancy/55261997,"{'min': 120000, 'max': 200000, 'cur': 'руб.'}",ООО Загородный дом,Москва
Инженер ПТО,https://spb.hh.ru/vacancy/66086517,"{'min': 70000, 'max': 80000, 'cur': 'руб.'}",ООО Глобал Констракшн Групп,Москва
Инженер-технолог,https://spb.hh.ru/vacancy/66122652,"{'min': 150000, 'max': None, 'cur': 'руб.'}",ООО ТД Пласт-Трэйд,Москва
Ведущий инженер-конструктор/инженер-конструктор,https://spb.hh.ru/vacancy/66088881,"{'min': 45000, 'max': 100000, 'cur': 'руб.'}",Engerra Engineering,Ростов-на-Дону
Инженер по обследованию зданий и сооружений/инженер-проектировщик,https://spb.hh.ru/vacancy/66139778,"{'min': 85000, 'max': 190000, 'cur': 'руб.'}",ООО ТЕХДИАГНОСТИКА,Екатеринбург
"Инженер по продажам преобразователей частоты, редукторов и мотор-редукторов",https://spb.hh.ru/vacancy/66098244,"{'min': 120000, 'max': None, 'cur': 'руб.'}",ООО Приводная механика,Санкт-Петербург
Инженер,https://spb.hh.ru/vacancy/55863876,"{'min': 40000, 'max': None, 'cur': 'руб.'}","АО Кристалл, МТУ",Оренбург
Инженер- проектировщик КЖ,https://spb.hh.ru/vacancy/66125407,"{'min': None, 'max': None, 'cur': None}",ООО Инженерный Центр ГИПАР,Краснодар
Начинающий инженер-проектировщик ОВиК (Только с КРАСНЫМ дипломом!).,https://spb.hh.ru/vacancy/55020282,"{'min': 50000, 'max': 250000, 'cur': 'руб.'}",ТУРКОВ,"Москва, Автозаводская"
Инженер отдела обследования зданий и сооружений,https://spb.hh.ru/vacancy/55524427,"{'min': 100000, 'max': None, 'cur': 'руб.'}",ООО Аракис,Москва
